id,price,imageUrl,collectionName,price1,id1,label1
4303,0.02,https://lh3.googleusercontent.com/a0Hq33FbaDYQB5SqSlwyb2AUYOcZYaa2JoadJVoegfG26546E7ARj6BAlG3NX5yOGtNNTw6JcTwiRO8qEmcpNBcSyw8bg9W5eqw90Q=w525,BoredApe,1.99e-16,<built-in function id>,F
Shaman Koop of the Veil,0.05,https://lh3.googleusercontent.com/omRo44VGZ4nId5GMvys2i1trpMEL-yYsSVdYBxnDt1yELbZ9BZH7vYNYeIHP5x7Dd_8fxeapePZWhxslf6-f30Qx0iZcxo_TE02siQ=w183,Forgotten Runes Wizards Cult,4.99e-16,<built-in function id>,F
Hedge Wizard Alessar of Mu,0.05,https://lh3.googleusercontent.com/vTu4vBy9IVVRTZJMxYmgjhbzS-cCIc1XEdC7mGHd_CpmANTgT2duw5EocwZ4WqYtDzqZL1kNrIqMGRE8sZjyry4-OftCIeeIbzlyuP4=w183,Forgotten Runes Wizards Cult,4.99e-16,<built-in function id>,F
Psychonaut Ape Division #3729,0.071,https://lh3.googleusercontent.com/S8MnVlcqBsWEFFjs7RJYyK1RRvJovDqaUXZlczd-kq8RNR56wvu085eUSAB5oD_AmD8cTN16taSzmqBwm-06KaRtUihRURqlvQbuag=w336,The Psychonaut Ape Division,7.089999999999999e-16,<built-in function id>,F
Psychonaut Ape Division #5738,0.071,https://lh3.googleusercontent.com/fQat5gs6QE2qaPjZnsCLxQzOl741Zp61bEYe2oPGN6OkUCkTXXOZmmgIFpc5zNj9RwkTjzgW4ga4mE_bYPgI1WFfyB-f7xZjsQyq8Q=w336,The Psychonaut Ape Division,7.089999999999999e-16,<built-in function id>,F
Psychonaut Ape Division #6030,0.071,https://lh3.googleusercontent.com/S8-5l8rH5Gr24ntsyQO0gjlzjYXfSHlgwofi7b-Z2gZT4lsOQ4kemQXBG_9gLiQhgW06R5uYQZUZamfwbJDBwEaWv-b1L3YkH0j2=w336,The Psychonaut Ape Division,7.089999999999999e-16,<built-in function id>,F
Psychonaut Ape Division #162,0.071,https://lh3.googleusercontent.com/ZGcu0QlP3iYPuU5iUcnEyIePgONJylPnBlWGz0miFcx4_7pqanmDiRyCPhgsUvBJbmciqXes3UBfDzkxxIbISgvVfHpLkkijZESC_Q=w336,The Psychonaut Ape Division,7.089999999999999e-16,<built-in function id>,F
Psychonaut Ape Division #2240,0.071,https://lh3.googleusercontent.com/CJ7__EjQYTKO5QVhIo_cW2HQQ2C04OHVpEMrd01EfsQINOGHDZwtRMBLNtzaWV3OoRUKEjwGQcA5-So3matbTQUXKGtVIYnsC8xA=w336,The Psychonaut Ape Division,7.089999999999999e-16,<built-in function id>,F
Psychonaut Ape Division #5264,0.071,https://lh3.googleusercontent.com/GzEyQ2CCYVM8rbXaa_Tk6KLPefPIc-QupcoZr3ftIzRNZiKJylIGATZXCWrIpodiE2W3nQ5ENTc5OAVxDwAujcu433dV_mcMq-fHOg=w336,The Psychonaut Ape Division,7.089999999999999e-16,<built-in function id>,F
Psychonaut Ape Division #3941,0.071,https://lh3.googleusercontent.com/yybgdR9HXHNpAgEfL8LGAHYw0D0dKtXs6zMyKPuieEQBa0XEnqMYfJmvgGD38Yqo-bdDXIlOKpCCA941bFCKGOLKtC8XWZx68-TP=w336,The Psychonaut Ape Division,7.089999999999999e-16,<built-in function id>,F
